Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
reactive,hu.akarnokd.reactive.lowalloc,LcObservableJust,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reactive,hu.akarnokd.reactive.lowalloc,LcObservableJust,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): LcSourceObservable
reactive,hu.akarnokd.reactive.lowalloc,LcObservableRange,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reactive,hu.akarnokd.reactive.lowalloc,LcObservableRange,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): LcSourceObservable
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): LcIntermediateObservable
reactive,hu.akarnokd.reactive.observables,IObservable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reactive,hu.akarnokd.reactive.observables,IObservable.ConcatObserver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reactive,hu.akarnokd.reactive.observables,IObservable.ConcatObserver,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: o; sources; d; disposed; wip; index
reactive,hu.akarnokd.reactive.observables,IObservable.Collector,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: o; collection; collector; d; disposed
reactive,hu.akarnokd.reactive.observables,IObservable.Collector,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reactive,hu.akarnokd.reactive.observables,IObservable.Collector,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: o; collection; collector; d; disposed
reactive,hu.akarnokd.reactive.observables,IObservable.FlatMapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: o; mapper; d; disposed
reactive,hu.akarnokd.reactive.observables,IObservable.FlatMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reactive,hu.akarnokd.reactive.observables,IObservable.Mapper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: o; mapper; d; disposed
reactive,hu.akarnokd.reactive.observables,IObservable.Mapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reactive,hu.akarnokd.reactive.observables,IObservable.Filterer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: o; predicate; d; disposed
reactive,hu.akarnokd.reactive.observables,IObservable.Filterer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reactive,hu.akarnokd.reactive.observables,IObservable.SumInt,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: o; d; disposed; sum
reactive,hu.akarnokd.reactive.observables,IObservable.SumInt,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
reactive,hu.akarnokd.reactive.observables,IObservable.SumLong,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: o; d; disposed; sum
reactive,hu.akarnokd.reactive.observables,IObservable.SumLong,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
