Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
reactive,hu.akarnokd.reactive.lowalloc,LcObservableJust,LcObservableJust,3,1,1,11,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableJust,createFresh,3,1,0,15,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableJust,dispose,3,1,0,20,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableJust,isDisposed,3,1,0,25,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableJust,subscribeActual,11,3,1,30,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableRange,LcObservableRange,4,1,2,13,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableRange,createFresh,3,1,0,18,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableRange,dispose,3,1,0,23,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableRange,isDisposed,3,1,0,28,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableRange,subscribeActual,13,4,1,33,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,LcObservableMap,4,1,2,15,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,onSubscribe,4,1,1,20,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,onNext,3,1,1,26,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,onError,3,1,1,31,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,onComplete,3,1,0,36,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,subscribeActual,3,1,0,41,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,createFresh,3,1,0,46,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,dispose,3,1,0,51,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservableMap,isDisposed,3,1,0,56,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcSourceObservable,subscribeActual,0,1,1,16,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcSourceObservable,createFresh,0,1,0,18,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcSourceObservable,subscribe,8,2,1,20,0,hu.akarnokd.reactive.lowalloc.LcSourceObservable,hu.akarnokd.reactive.lowalloc.LcSourceObservable
reactive,hu.akarnokd.reactive.lowalloc,LcObservable,subscribe,0,1,1,9,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservable,just,3,1,1,11,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservable,range,6,2,2,15,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcObservable,map,3,1,1,22,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcIntermediateObservable,subscribeActual,0,1,0,17,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcIntermediateObservable,createFresh,0,1,0,19,0,,
reactive,hu.akarnokd.reactive.lowalloc,LcIntermediateObservable,subscribe,11,2,1,21,0,hu.akarnokd.reactive.lowalloc.LcIntermediateObservable,hu.akarnokd.reactive.lowalloc.LcIntermediateObservable
reactive,hu.akarnokd.reactive.observables,IObservable,subscribe,0,1,1,15,0,,
reactive,hu.akarnokd.reactive.observables,IObservable,just,13,3,1,17,0,,
reactive,hu.akarnokd.reactive.observables,IObservable,characters,16,4,1,30,0,,
reactive,hu.akarnokd.reactive.observables,IObservable,concatArray,8,1,1,46,0,,
reactive,hu.akarnokd.reactive.observables,IObservable,fromIterable,16,4,1,55,0,,
reactive,hu.akarnokd.reactive.observables,IObservable,collect,17,1,2,71,0,hu.akarnokd.reactive.observables.IObservable,hu.akarnokd.reactive.observables.IObservable
reactive,hu.akarnokd.reactive.observables,IObservable,flatMapIterable,7,1,1,87,0,hu.akarnokd.reactive.observables.IObservable,hu.akarnokd.reactive.observables.IObservable
reactive,hu.akarnokd.reactive.observables,IObservable,map,7,1,1,94,0,hu.akarnokd.reactive.observables.IObservable,hu.akarnokd.reactive.observables.IObservable
reactive,hu.akarnokd.reactive.observables,IObservable,filter,7,1,1,101,0,hu.akarnokd.reactive.observables.IObservable,hu.akarnokd.reactive.observables.IObservable
reactive,hu.akarnokd.reactive.observables,IObservable,sumInt,7,1,0,108,0,,
reactive,hu.akarnokd.reactive.observables,IObservable,sumLong,7,1,0,116,0,,
reactive,hu.akarnokd.reactive.observables,IObservable,maxInt,7,1,0,124,0,,
reactive,hu.akarnokd.reactive.observables,IObservable,take,7,1,1,132,0,hu.akarnokd.reactive.observables.IObservable,hu.akarnokd.reactive.observables.IObservable
reactive,hu.akarnokd.reactive.observables,IObservable,skip,7,1,1,139,0,hu.akarnokd.reactive.observables.IObservable,hu.akarnokd.reactive.observables.IObservable
reactive,hu.akarnokd.reactive.observables,IObservable,first,11,3,0,146,0,hu.akarnokd.reactive.observables.IObservable,hu.akarnokd.reactive.observables.IObservable
reactive,hu.akarnokd.reactive.observables,IObservable,last,11,3,0,158,0,hu.akarnokd.reactive.observables.IObservable,hu.akarnokd.reactive.observables.IObservable
reactive,hu.akarnokd.reactive.observables,IDisposable,dispose,0,1,0,5,0,,
reactive,hu.akarnokd.reactive.observables,IObserver,dispose,0,1,0,5,0,,
reactive,hu.akarnokd.reactive.observables,IObserver,onSubscribe,0,1,1,7,0,,
reactive,hu.akarnokd.reactive.observables,IObserver,onNext,0,1,1,9,0,,
reactive,hu.akarnokd.reactive.observables,IObserver,onError,0,1,1,11,0,,
reactive,hu.akarnokd.reactive.observables,IObserver,onComplete,0,1,0,13,0,,
reactive,hu.akarnokd.reactive.observables,BooleanDisposable,isDisposed,3,1,0,7,0,,
reactive,hu.akarnokd.reactive.observables,BooleanDisposable,dispose,3,1,0,11,0,,
