Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
akarnokd-misc,hu.akarnokd.rxjava3,RangeDelayedRange,main,Long Statement,The length of the statement "Flowable.range(0`20).doOnNext(run -> System.out.println("run: " + run)).concatMap(run -> Flowable.range(0`1000).flatMap(RangeDelayedRange::stubFunction).doOnNext(iteration -> System.out.println("iteration: " + iteration)).subscribeOn(Schedulers.io())).count().blockingSubscribe(v -> System.out.printf("%n%n---------%n%s"`v));" is 325.,9
akarnokd-misc,hu.akarnokd.rxjava3,RangeDelayedRange,main,Magic Number,The method contains a magic number: 20,9
akarnokd-misc,hu.akarnokd.rxjava3,RangeDelayedRange,main,Magic Number,The method contains a magic number: 1000,9
akarnokd-misc,hu.akarnokd.rxjava3,RangeDelayedRange,stubFunction,Magic Number,The method contains a magic number: 100,21
akarnokd-misc,hu.akarnokd.rxjava3,SomeGroupBy1,test,Long Statement,The length of the statement "return Flowable.range(0`10_000_000).subscribeOn(Schedulers.io()).filter(item -> item % 5 == partition).delay(10`TimeUnit.MILLISECONDS).map(item -> new Container(partition`item));" is 178.,14
akarnokd-misc,hu.akarnokd.rxjava3,SomeGroupBy1,test,Magic Number,The method contains a magic number: 5,14
akarnokd-misc,hu.akarnokd.rxjava3,SomeGroupBy1,test,Magic Number,The method contains a magic number: 5,14
akarnokd-misc,hu.akarnokd.rxjava3,SomeGroupBy1,test,Magic Number,The method contains a magic number: 10_000_000,14
akarnokd-misc,hu.akarnokd.rxjava3,SomeGroupBy1,test,Magic Number,The method contains a magic number: 5,14
akarnokd-misc,hu.akarnokd.rxjava3,SomeGroupBy1,test,Magic Number,The method contains a magic number: 10,14
akarnokd-misc,hu.akarnokd.rxjava3,SomeGroupBy1,test,Magic Number,The method contains a magic number: 100,14
akarnokd-misc,hu.akarnokd.rxjava3,ZipWithOne,test,Long Statement,The length of the statement "integerFlowable.concatMap(main -> delayedFlowable.map(other -> Integer.sum(main`other))).test().awaitDone(5`TimeUnit.SECONDS).assertResult(11`12`13);" is 149.,11
akarnokd-misc,hu.akarnokd.rxjava3,ZipWithOne,test,Magic Number,The method contains a magic number: 2,11
akarnokd-misc,hu.akarnokd.rxjava3,ZipWithOne,test,Magic Number,The method contains a magic number: 3,11
akarnokd-misc,hu.akarnokd.rxjava3,ZipWithOne,test,Magic Number,The method contains a magic number: 10,11
akarnokd-misc,hu.akarnokd.rxjava3,ZipWithOne,test,Magic Number,The method contains a magic number: 5,11
akarnokd-misc,hu.akarnokd.rxjava3,ZipWithOne,test,Magic Number,The method contains a magic number: 11,11
akarnokd-misc,hu.akarnokd.rxjava3,ZipWithOne,test,Magic Number,The method contains a magic number: 12,11
akarnokd-misc,hu.akarnokd.rxjava3,ZipWithOne,test,Magic Number,The method contains a magic number: 13,11
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Long Statement,The length of the statement "Observable.fromArray(1`2`3`5`20`21`22`23`24`25`26`27`28`29`30`31).flatMap(v -> Observable.timer(v * 100`TimeUnit.MILLISECONDS).map(w -> v)).compose(BufferWithTimeout.create(700`TimeUnit.MILLISECONDS`Schedulers.computation())).blockingSubscribe(System.out::println);" is 265.,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 2,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 3,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 5,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 20,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 21,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 22,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 23,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 24,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 25,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 26,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 27,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 28,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 29,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 30,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 31,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 100,16
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,Magic Number,The method contains a magic number: 700,16
akarnokd-misc,hu.akarnokd.rxjava3,SomeBlocking,test,Magic Number,The method contains a magic number: 20,10
akarnokd-misc,hu.akarnokd.rxjava3,SomeBlocking,test,Magic Number,The method contains a magic number: 5,10
akarnokd-misc,hu.akarnokd.rxjava3,ZipPattern,test,Long Statement,The length of the statement "Observable.zip(Observable.just(-1L).concatWith(Observable.interval(10`5`TimeUnit.SECONDS))`Observable.range(1`5)`(aLong`integer1) -> {" is 134.,12
akarnokd-misc,hu.akarnokd.rxjava3,ZipPattern,test,Long Statement,The length of the statement "return Observable.just(longIntegerPair.getValue()).delay(longIntegerPair.getKey() < 0 ? 10 : 5`TimeUnit.SECONDS).flatMap(value -> {" is 131.,12
akarnokd-misc,hu.akarnokd.rxjava3,ZipPattern,test,Magic Number,The method contains a magic number: 10,12
akarnokd-misc,hu.akarnokd.rxjava3,ZipPattern,test,Magic Number,The method contains a magic number: 5,12
akarnokd-misc,hu.akarnokd.rxjava3,ZipPattern,test,Magic Number,The method contains a magic number: 5,12
akarnokd-misc,hu.akarnokd.rxjava3,ZipPattern,test,Magic Number,The method contains a magic number: 10,12
akarnokd-misc,hu.akarnokd.rxjava3,ZipPattern,test,Magic Number,The method contains a magic number: 5,12
akarnokd-misc,hu.akarnokd.rxjava3,NestedUsing,test,Long Statement,The length of the statement "Single.using(() -> 1`v -> Single.using(() -> 2`w -> Single.just(1)`w -> System.out.println("Inner release` eager: " + (j0 == 0))`j0 == 0)`v -> System.out.println("Outer release` eager: " + (i0 == 0))`i == 0).blockingSubscribe();" is 228.,9
akarnokd-misc,hu.akarnokd.rxjava3,NestedUsing,test,Magic Number,The method contains a magic number: 2,9
akarnokd-misc,hu.akarnokd.rxjava3,NestedUsing,test,Magic Number,The method contains a magic number: 2,9
akarnokd-misc,hu.akarnokd.rxjava3,NestedUsing,test,Magic Number,The method contains a magic number: 2,9
akarnokd-misc,hu.akarnokd.rxjava3,CompletableAndThenNoError,main,Long Statement,The length of the statement "Completable.error(new Exception()).toObservable().flatMap(v -> Observable.<Boolean>never()`e -> Observable.just(false)`() -> Observable.just(true)).subscribe(System.out::println);" is 179.,8
akarnokd-misc,hu.akarnokd.rxjava3,RepeatWhenSO,test,Long Statement,The length of the statement ").repeatWhen(o -> o.delay(5`TimeUnit.SECONDS`testScheduler)).takeUntil(item -> !item.equals("PENDING")).doOnNext(item -> System.out.println("doOnNext called")).lastElement().toSingle().test();" is 192.,14
akarnokd-misc,hu.akarnokd.rxjava3,RepeatWhenSO,test,Magic Number,The method contains a magic number: 5,14
akarnokd-misc,hu.akarnokd.rxjava3,RepeatWhenSO,test,Magic Number,The method contains a magic number: 5,14
akarnokd-misc,hu.akarnokd.rxjava3,FlatMapLatest,someTest,Long Statement,The length of the statement "`false`1`1).observeOn(Schedulers.from(Executors.newCachedThreadPool())`false`1).filter(value -> value == maxint).blockingFirst();" is 129.,12
akarnokd-misc,hu.akarnokd.rxjava3,FlatMapLatest,someTest,Magic Number,The method contains a magic number: 10,12
akarnokd-misc,hu.akarnokd.rxjava3,FlatMapLatest,someTest,Magic Number,The method contains a magic number: 100,12
