Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
akarnokd-misc,hu.akarnokd.rxjava3,RangeDelayedRange,main,3,1,1,9,0,,
akarnokd-misc,hu.akarnokd.rxjava3,RangeDelayedRange,stubFunction,3,1,1,21,0,,
akarnokd-misc,hu.akarnokd.rxjava3,SomeGroupBy1,Container,2,1,2,12,0,,
akarnokd-misc,hu.akarnokd.rxjava3,SomeGroupBy1,test,18,1,0,14,1,,
akarnokd-misc,hu.akarnokd.rxjava3,ZipWithOne,test,5,1,0,11,1,,
akarnokd-misc,hu.akarnokd.rxjava3,SingleMaybeMock,testGenerateValue,4,1,0,10,1,,
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,test,3,1,0,16,1,,
akarnokd-misc,hu.akarnokd.rxjava3,SomeBlocking,test,9,2,0,10,1,,
akarnokd-misc,hu.akarnokd.rxjava3,ZipPattern,test,14,1,0,12,1,,
akarnokd-misc,hu.akarnokd.rxjava3,NestedUsing,test,11,3,0,9,1,,
akarnokd-misc,hu.akarnokd.rxjava3,CompletableAndThenNoError,main,3,1,1,8,0,,
akarnokd-misc,hu.akarnokd.rxjava3,RepeatWhenSO,test,14,2,0,14,1,,
akarnokd-misc,hu.akarnokd.rxjava3,FlatMapLatest,someTest,26,2,0,12,1,,
akarnokd-misc,hu.akarnokd.rxjava3,UndeliverableTest,test,10,1,0,13,1,,
akarnokd-misc,hu.akarnokd.rxjava3,SchedulerPrint,disposablePrint,18,1,0,14,1,,
akarnokd-misc,hu.akarnokd.rxjava3,MarblesAddBackground,main,37,7,1,11,0,,
akarnokd-misc,hu.akarnokd.rxjava3,SomeCombine,main,9,1,1,9,0,,
akarnokd-misc,hu.akarnokd.rxjava3,OnErrorResumeNextInSequence,main,27,4,1,12,0,,
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromPublisher,ParallelFromPublisher,5,1,3,23,0,,
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromPublisher,parallelism,3,1,0,29,0,,
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromPublisher,subscribe,6,2,1,34,0,,
akarnokd-misc,hu.akarnokd.rxjava3,UsingWhen,usingWhen,3,1,3,28,0,,
akarnokd-misc,hu.akarnokd.rxjava3,UsingWhen,usingWhen,3,1,2,46,0,,
akarnokd-misc,hu.akarnokd.rxjava3,ConcatGroupTest,main,9,2,1,29,0,,
