Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 1.0
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rx2,hu.akarnokd.reactive.comparison.rx2,MemoryPerf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rx2,hu.akarnokd.reactive.comparison.rx2,MemoryPerf.MyRx2Subscriber,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: s
rx2,hu.akarnokd.reactive.comparison.rx2,MemoryPerf.MyRx2Subscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rx2,hu.akarnokd.reactive.comparison.rx2,MemoryPerf.MyRx2Observer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: s
rx2,hu.akarnokd.reactive.comparison.rx2,MemoryPerf.MyRx2Observer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: count; asyncRx2Observable; pipelineRx2Observable; asyncRx2Flowable; pipelineRx2Flowable; exec; exec2
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: count
rx2,hu.akarnokd.reactive.comparison.rx2,StreamingPerf,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: count; flowable; observable
rx2,hu.akarnokd.reactive.comparison.rx2,StreamingPerf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rx2,hu.akarnokd.reactive.comparison.rx2,StreamingPerf,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: count; flowable; observable
rx2,hu.akarnokd.reactive.comparison.rx2,StreamingPerf.BaseBenchmark,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: flowable; observable
rx2,hu.akarnokd.reactive.comparison.rx2,StreamingPerf.BaseBenchmark,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rx2,hu.akarnokd.reactive.comparison.rx2,StreamingPerf.FlowableBenchmark,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rx2,hu.akarnokd.reactive.comparison.rx2,StreamingPerf.FlowableBenchmark,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rx2,hu.akarnokd.reactive.comparison.rx2,StreamingPerf.ObservableBenchmark,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rx2,hu.akarnokd.reactive.comparison.rx2,StreamingPerf.ObservableBenchmark,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
