Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,setup,14,1,0,37,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,firstRx2Observable,3,1,1,64,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,lastRx2Observable,3,1,1,69,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,firstRx2Flowable,3,1,1,74,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,lastRx2Flowable,3,1,1,79,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,firstRx2Single,3,1,1,84,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,emptyRx2Completable,3,1,1,89,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,firstRx2Maybe,3,1,1,94,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,emptyRx2Maybe,3,1,1,99,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,emptyRx2Flowable,3,1,1,104,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,BlockingPerf,emptyRx2Observable,3,1,1,109,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,neverRx2Observable,3,1,1,53,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,emptyRx2Observable,3,1,1,58,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,justRx2Observable,3,1,1,64,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,neverRx2Flowable,3,1,1,69,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,emptyRx2Flowable,3,1,1,74,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,justRx2Flowable,3,1,1,80,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,neverRx2Single,3,1,1,86,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,emptyRx2Single,3,1,1,91,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,justRx2Single,3,1,1,97,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,neverRx2Completable,3,1,1,102,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,emptyRx2Completable,3,1,1,107,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,justRx2Completable,3,1,1,113,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,neverRx2Maybe,3,1,1,119,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,emptyRx2Maybe,3,1,1,124,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubscribePerf,justRx2Maybe,3,1,1,130,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,MemoryPerf,MemoryPerf,2,1,0,13,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,MemoryPerf,memoryUse,3,1,0,15,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,MemoryPerf,checkMemory,20,2,3,75,0,hu.akarnokd.reactive.comparison.rx2.MemoryPerf,hu.akarnokd.reactive.comparison.rx2.MemoryPerf
rx2,hu.akarnokd.reactive.comparison.rx2,MemoryPerf,main,49,1,1,105,0,hu.akarnokd.reactive.comparison.rx2.MemoryPerf,hu.akarnokd.reactive.comparison.rx2.MemoryPerf
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,setup,10,1,0,36,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,teardown,4,1,0,56,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,run,5,1,2,62,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,run,5,1,2,68,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,run,5,1,2,74,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,asyncRx2Observable,3,1,1,80,0,hu.akarnokd.reactive.comparison.rx2.AsyncPerf,hu.akarnokd.reactive.comparison.rx2.AsyncPerf
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,pipelineRx2Observable,3,1,1,85,0,hu.akarnokd.reactive.comparison.rx2.AsyncPerf,hu.akarnokd.reactive.comparison.rx2.AsyncPerf
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,asyncRx2Flowable,3,1,1,90,0,hu.akarnokd.reactive.comparison.rx2.AsyncPerf,hu.akarnokd.reactive.comparison.rx2.AsyncPerf
rx2,hu.akarnokd.reactive.comparison.rx2,AsyncPerf,pipelineRx2Flowable,3,1,1,95,0,hu.akarnokd.reactive.comparison.rx2.AsyncPerf,hu.akarnokd.reactive.comparison.rx2.AsyncPerf
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,run,9,2,2,24,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,rangeRx2AsyncSubject,3,1,1,34,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,rangeRx2PublishSubject,3,1,1,39,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,rangeRx2BehaviorSubject,3,1,1,44,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,rangeRx2ReplaySubject,3,1,1,49,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,rangeRx2UnicastSubject,3,1,1,54,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,run,9,2,2,61,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,rangeRx2AsyncProcessor,3,1,1,71,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,rangeRx2PublishProcessor,3,1,1,76,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,rangeRx2BehaviorProcessor,3,1,1,81,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,rangeRx2ReplayProcessor,3,1,1,86,0,,
rx2,hu.akarnokd.reactive.comparison.rx2,SubjectPerf,rangeRx2UnicastProcessor,3,1,1,91,0,,
