Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
rxjava,hu.akarnokd.rxjava,OnSubscribeSumDouble,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,OnSubscribeSumDouble.SumDoubleSubscriber,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sum
rxjava,hu.akarnokd.rxjava,OnSubscribeSumDouble.SumDoubleSubscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,ShareLatest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,ThrottleFirstExample,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,EmitterTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,SingleAsync,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,OnSubscribeSumLong,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,OnSubscribeSumLong.SumLongSubscriber,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sum
rxjava,hu.akarnokd.rxjava,OnSubscribeSumLong.SumLongSubscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,ActionInBetween,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,DebounceFirst,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,GroupByTest2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,OnSubscribeSumInt,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,OnSubscribeSumInt.SumIntSubscriber,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sum
rxjava,hu.akarnokd.rxjava,OnSubscribeSumInt.SumIntSubscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,Example,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,MethodDiff,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
rxjava,hu.akarnokd.rxjava,MethodDiff,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,EmitterTestv2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,OnSubscribeMinMax,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: source; comparator; compensator; COMPARABLE_MIN; comparator; compensator
rxjava,hu.akarnokd.rxjava,OnSubscribeMinMax.MinMaxSubscriber,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: comparator; compensator
rxjava,hu.akarnokd.rxjava,OnSubscribeMinMax.MinMaxSubscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen.ExceptionType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen.ExceptionType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen.TestTransactionObserver,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen.TestTransactionObserver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen.TestTransaction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen.TestTransaction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,SubscriberReuse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,ConditionalCompactedStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava,hu.akarnokd.rxjava,ConditionalCompactedStream.ConditionalCompactor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
