Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
rxjava,hu.akarnokd.rxjava,OnSubscribeSumDouble,OnSubscribeSumDouble,4,1,2,28,0,,
rxjava,hu.akarnokd.rxjava,OnSubscribeSumDouble,call,3,1,1,33,0,,
rxjava,hu.akarnokd.rxjava,ShareLatest,ShareLatest,2,1,0,10,0,,
rxjava,hu.akarnokd.rxjava,ShareLatest,main,3,1,1,14,0,,
rxjava,hu.akarnokd.rxjava,ThrottleFirstExample,ThrottleFirstExample,2,1,0,8,0,,
rxjava,hu.akarnokd.rxjava,ThrottleFirstExample,main,3,1,1,10,0,,
rxjava,hu.akarnokd.rxjava,EmitterTest,EmitterTest,2,1,0,7,0,,
rxjava,hu.akarnokd.rxjava,EmitterTest,main,13,3,1,8,0,,
rxjava,hu.akarnokd.rxjava,EmitterTest,sleep,8,1,1,29,0,,
rxjava,hu.akarnokd.rxjava,SingleAsync,main,12,1,1,9,0,,
rxjava,hu.akarnokd.rxjava,OnSubscribeSumLong,OnSubscribeSumLong,4,1,2,28,0,,
rxjava,hu.akarnokd.rxjava,OnSubscribeSumLong,call,3,1,1,33,0,,
rxjava,hu.akarnokd.rxjava,ActionInBetween,main,11,1,1,10,0,,
rxjava,hu.akarnokd.rxjava,DebounceFirst,DebounceFirst,2,1,0,9,0,,
rxjava,hu.akarnokd.rxjava,DebounceFirst,main,3,1,1,11,0,,
rxjava,hu.akarnokd.rxjava,DebounceFirst,debounceFirst,3,1,2,20,0,,
rxjava,hu.akarnokd.rxjava,OperatorSum,OperatorSum,3,1,0,28,0,,
rxjava,hu.akarnokd.rxjava,OperatorSum,sumIntegers,3,1,1,30,0,,
rxjava,hu.akarnokd.rxjava,OperatorSum,sumLongs,3,1,1,34,0,,
rxjava,hu.akarnokd.rxjava,OperatorSum,sumFloats,3,1,1,38,0,,
rxjava,hu.akarnokd.rxjava,OperatorSum,sumDoubles,3,1,1,42,0,,
rxjava,hu.akarnokd.rxjava,OperatorSum,sumAtLeastOneIntegers,3,1,1,46,0,,
rxjava,hu.akarnokd.rxjava,OperatorSum,sumAtLeastOneLongs,3,1,1,50,0,,
rxjava,hu.akarnokd.rxjava,OperatorSum,sumAtLeastOneFloats,3,1,1,54,0,,
rxjava,hu.akarnokd.rxjava,OperatorSum,sumAtLeastOneDoubles,3,1,1,58,0,,
rxjava,hu.akarnokd.rxjava,GroupByTest2,GroupByTest2,2,1,0,10,0,,
rxjava,hu.akarnokd.rxjava,GroupByTest2,main,5,1,1,12,0,,
rxjava,hu.akarnokd.rxjava,GroupByTest2,calculation,5,1,1,22,0,hu.akarnokd.rxjava.GroupByTest2,hu.akarnokd.rxjava.GroupByTest2
rxjava,hu.akarnokd.rxjava,GroupByTest2,sleep,8,1,0,28,0,,
rxjava,hu.akarnokd.rxjava,OnSubscribeSumInt,OnSubscribeSumInt,4,1,2,28,0,,
rxjava,hu.akarnokd.rxjava,OnSubscribeSumInt,call,3,1,1,33,0,,
rxjava,hu.akarnokd.rxjava,Example,Example,2,1,0,4,0,,
rxjava,hu.akarnokd.rxjava,Example,main,8,1,1,8,0,,
rxjava,hu.akarnokd.rxjava,MethodDiff,MethodDiff,2,1,0,12,0,,
rxjava,hu.akarnokd.rxjava,MethodDiff,rename,12,4,1,14,0,,
rxjava,hu.akarnokd.rxjava,MethodDiff,replacepackage,3,1,1,27,0,,
rxjava,hu.akarnokd.rxjava,MethodDiff,main,76,12,1,33,0,hu.akarnokd.rxjava.MethodDiff,hu.akarnokd.rxjava.MethodDiff
rxjava,hu.akarnokd.rxjava,EmitterTestv2,EmitterTestv2,2,1,0,8,0,,
rxjava,hu.akarnokd.rxjava,EmitterTestv2,main,19,3,1,9,0,,
rxjava,hu.akarnokd.rxjava,EmitterTestv2,accept,3,1,1,27,0,,
rxjava,hu.akarnokd.rxjava,EmitterTestv2,sleep,8,1,1,36,0,,
rxjava,hu.akarnokd.rxjava,OnSubscribeMinMax,compare,3,1,2,35,0,,
rxjava,hu.akarnokd.rxjava,OnSubscribeMinMax,OnSubscribeMinMax,5,1,3,42,0,,
rxjava,hu.akarnokd.rxjava,OnSubscribeMinMax,call,3,1,1,48,0,,
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen,TransactionSubjectPlaypen,3,1,0,25,0,,
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen,main,12,1,1,29,0,hu.akarnokd.rxjava.TransactionSubjectPlaypen,hu.akarnokd.rxjava.TransactionSubjectPlaypen
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen,subscribe,3,1,1,41,0,,
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen,start,3,1,0,45,0,hu.akarnokd.rxjava.TransactionSubjectPlaypen,hu.akarnokd.rxjava.TransactionSubjectPlaypen
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen,startPeriodicTransactionRetrieval,23,1,0,51,0,,
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen,pollRemoteForTransactions,4,1,1,75,0,,
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen,remoteServiceClientSimulation,10,1,1,80,0,hu.akarnokd.rxjava.TransactionSubjectPlaypen,hu.akarnokd.rxjava.TransactionSubjectPlaypen
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen,randomNetworkDelaySimulation,5,1,0,90,0,,
rxjava,hu.akarnokd.rxjava,TransactionSubjectPlaypen,getTransactions,30,4,1,96,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,SubscriberReuse,2,1,0,6,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,main,5,1,1,8,0,hu.akarnokd.rxjava.SubscriberReuse,hu.akarnokd.rxjava.SubscriberReuse
rxjava,hu.akarnokd.rxjava,SubscriberReuse,test1,33,1,0,13,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,call,4,1,1,15,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,onCompleted,3,1,0,22,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,onError,3,1,1,26,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,onNext,3,1,1,30,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,call,4,1,1,45,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,test2,26,1,0,52,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,onCompleted,3,1,0,55,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,onError,3,1,1,59,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,onNext,3,1,1,63,0,,
rxjava,hu.akarnokd.rxjava,SubscriberReuse,call,4,1,1,78,0,,
rxjava,hu.akarnokd.rxjava,ConditionalCompactedStream,ConditionalCompactedStream,2,1,0,16,0,,
rxjava,hu.akarnokd.rxjava,ConditionalCompactedStream,main,4,1,1,18,0,,
rxjava,hu.akarnokd.rxjava,MathObservable,MathObservable,3,1,1,27,0,,
rxjava,hu.akarnokd.rxjava,MathObservable,from,3,1,1,31,0,,
rxjava,hu.akarnokd.rxjava,MathObservable,max,3,1,1,35,0,,
rxjava,hu.akarnokd.rxjava,MathObservable,min,3,1,1,55,0,,
rxjava,hu.akarnokd.rxjava,MathObservable,sumDouble,3,1,1,73,0,,
rxjava,hu.akarnokd.rxjava,MathObservable,sumFloat,3,1,1,89,0,,
