Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
rxjava,hu.akarnokd.rxjava,OnSubscribeSumDouble,3,0,2,2,34,2,0,0,0.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava/OnSubscribeSumDouble.java,22
rxjava,hu.akarnokd.rxjava,OnSubscribeSumDouble.SumDoubleSubscriber,1,0,0,0,23,0,0,1,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava/OnSubscribeSumDouble.java,38
rxjava,hu.akarnokd.rxjava,ShareLatest,0,0,2,1,7,2,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava/ShareLatest.java,8
rxjava,hu.akarnokd.rxjava,ThrottleFirstExample,0,0,2,1,7,2,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava/ThrottleFirstExample.java,7
rxjava,hu.akarnokd.rxjava,EmitterTest,0,0,3,1,25,5,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava/EmitterTest.java,6
rxjava,hu.akarnokd.rxjava,SingleAsync,0,0,1,1,14,1,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava/SingleAsync.java,7
rxjava,hu.akarnokd.rxjava,OnSubscribeSumLong,3,0,2,2,34,2,0,0,0.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava/OnSubscribeSumLong.java,22
rxjava,hu.akarnokd.rxjava,OnSubscribeSumLong.SumLongSubscriber,1,0,0,0,23,0,0,1,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava/OnSubscribeSumLong.java,38
rxjava,hu.akarnokd.rxjava,ActionInBetween,0,0,1,1,13,1,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava/ActionInBetween.java,8
rxjava,hu.akarnokd.rxjava,DebounceFirst,0,0,3,1,10,3,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava/DebounceFirst.java,7
