Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
rxjava3,hu.akarnokd.rxjava3,MarblesAddBackground,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,SomeCombine,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,OnErrorResumeNextInSequence,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher.ParallelDispatcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher.ParallelDispatcher,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: serialVersionUID; rails; prefetch; limit; upstream; queue; done; error; cancel; cancelled; ready; index; consumed; sourceMode; serialVersionUID; parent; downstream; emitted
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher.RailSubscription,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; parent; downstream; emitted
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher.RailSubscription,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,UsingWhen,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,UsingWhen.UsingWhenParams,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: resource; onComplete; onError; onCancel
rxjava3,hu.akarnokd.rxjava3,UsingWhen.UsingWhenParams,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,ConcatGroupTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,ConcatGroupTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: departmentId; name
rxjava3,hu.akarnokd.rxjava3,ConcatGroupTest.Employee,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: departmentId; name
rxjava3,hu.akarnokd.rxjava3,ConcatGroupTest.Employee,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,ConcatGroupTest.Employee,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: departmentId; name
rxjava3,hu.akarnokd.rxjava3,ShareExample,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher.ParallelDispatcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher.ParallelDispatcher,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: serialVersionUID; rails; prefetch; limit; upstream; queue; done; error; cancel; cancelled; ready; consumed; sourceMode; serialVersionUID; parent; downstream; emitted
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher.RailSubscription,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; parent; downstream; emitted
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher.RailSubscription,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
