Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
rxjava3,hu.akarnokd.rxjava3,MarblesAddBackground,0,0,1,1,39,7,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/MarblesAddBackground.java,9
rxjava3,hu.akarnokd.rxjava3,SomeCombine,0,0,1,1,11,1,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/SomeCombine.java,7
rxjava3,hu.akarnokd.rxjava3,OnErrorResumeNextInSequence,0,0,1,1,29,4,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/OnErrorResumeNextInSequence.java,10
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher,21,0,3,3,301,4,0,0,0.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ParallelFromPublisher.java,15
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher.ParallelDispatcher,18,0,0,0,282,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ParallelFromPublisher.java,43
rxjava3,hu.akarnokd.rxjava3,ParallelFromPublisher.RailSubscription,4,0,0,0,23,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ParallelFromPublisher.java,355
rxjava3,hu.akarnokd.rxjava3,UsingWhen,4,0,2,0,20,2,0,0,0.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/UsingWhen.java,9
rxjava3,hu.akarnokd.rxjava3,UsingWhen.UsingWhenParams,4,0,0,0,12,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/UsingWhen.java,11
rxjava3,hu.akarnokd.rxjava3,ConcatGroupTest,2,2,1,1,22,2,0,0,0.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ConcatGroupTest.java,9
rxjava3,hu.akarnokd.rxjava3,ConcatGroupTest.Employee,2,2,0,0,11,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ConcatGroupTest.java,11
rxjava3,hu.akarnokd.rxjava3,ShareExample,0,0,1,1,23,1,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ShareExample.java,6
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher,20,0,3,3,293,4,0,0,0.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ParallelFromBatchPublisher.java,15
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher.ParallelDispatcher,17,0,0,0,274,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ParallelFromBatchPublisher.java,43
rxjava3,hu.akarnokd.rxjava3,ParallelFromBatchPublisher.RailSubscription,4,0,0,0,23,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ParallelFromBatchPublisher.java,359
