Project Name,Package Name,Architecture Smell,Cause of the Smell
akarnokd-misc,hu.akarnokd.rxjava3,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
akarnokd-misc,hu.akarnokd.rxjava3,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RangeDelayedRange]; [SomeGroupBy1]; [ZipWithOne]; [SingleMaybeMock]; [SingleMaybeMock.Handler]; [SingleMaybeMock.MockValueService]; [SingleMaybeMock.MockRepositoryService]; [SingleMaybeMock.Result]; [SingleMaybeMock.Request]; [SingleMaybeMock.Value]; [BufferStartStop]; [BufferStartStop.BufferWithTimeout]; [SomeBlocking]; [ZipPattern]; [NestedUsing]; [CompletableAndThenNoError]; [RepeatWhenSO]; [FlatMapLatest]; [UndeliverableTest]; [SchedulerPrint]; [MarblesAddBackground]; [SomeCombine]; [OnErrorResumeNextInSequence]; [ParallelFromPublisher]; [ParallelFromPublisher.ParallelDispatcher]; [ParallelFromPublisher.RailSubscription]; [UsingWhen]; [ConcatGroupTest]; [ConcatGroupTest.Employee]; [ShareExample]; [ParallelFromBatchPublisher]; [ParallelFromBatchPublisher.ParallelDispatcher]; [ParallelFromBatchPublisher.RailSubscription]. LCC (Lack of Component Cohesion) = 1.0
akarnokd-misc,hu.akarnokd.rxjava2,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 273
akarnokd-misc,hu.akarnokd.rxjava2,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Timeout800Test]; [FlatMapIterableSharedTest]; [SubjectRaceTest]; [FlatMapCompletableThread]; [PublishRefCountPublishTest]; [BasicPrint2]; [RefCountTrackingTest]; [RetryWhenTest]; [PartialCollectTest]; [PartialCollectTest.PartialCollection]; [ErrorRemap]; [RefCountRace]; [SomeSharedFlow]; [ConcatMapDelayTest]; [ZipCrash]; [ParallelFileProcessing]; [FlowableStringInputStreamTest; FlowableStringInputStream]; [PSTestWithTS]; [PublishExamples]; [MergeCompletablesTest]; [LockstepObserveOnTest]; [LockstepObserveOnTest.LockstepObserveOn]; [LockstepObserveOnTest.LockstepObserveOnSubscriber]; [TestDoAfterTerminate]; [DebounceRange]; [ObsMergeWithCompTest]; [FlowableMergeTest]; [ListFlattening]; [ListFlattening.User]; [RetryEmptyErrorTest]; [StageDelays]; [JustFlatMapCallableNull]; [RepeatThread]; [BufferWithConditionAndTime]; [OnErrorCrash]; [CrossTypeBackpressure]; [ThrowsSubclass]; [ThrowsSubclass.F]; [BasicPrint]; [RedoCountTest]; [JavaCompilerBugTest]; [JavaCompilerBugTest.BrandBuilder]; [JavaCompilerBugTest.Brand]; [CustomFlowableTest]; [CustomFlowableTest.CustomFlowable]; [CustomFlowableTest.Listener]; [CustomSchedulerTimeout]; [JoinPairwise]; [JoinPairwise.Pair]; [JoinPairwise.Left]; [JoinPairwise.Right]; [JoinPairwise.Both]; [DoOnDisposeBug]; [JustFromEagerCancel]; [ZipShare]; [BufferDebounce]; [LatestObserveOnTest]; [MultiplyDigits]; [BlockingSingleTest]; [Issue5104]; [TimeoutTask]; [AssemblyHooksExample]; [BehaviorSubjectSignals]; [SlidingWindowTest]; [BehaviorSubjectCombineLatest]; [SingleConcatTest]; [ParallelInterrupt]; [NotInFirst]; [PagingFeedbackLoop]; [DebounceEmpty]; [ObservableOnSubscribeTest]; [MyClass]; [SingleTakeUntilTest]; [BufferDelayErrorTest]; [TestMockitoCalls]; [GroupByOOME]; [MergeAmbTest]; [ThrottleLastLeak]; [DelayBetween]; [WindowBoundaryIssue]; [ReplayOOM]; [ThrottleLastTest]; [ThrottleLastTest.RequestObserveOn]; [ThrottleLastTest.RequestObserveOnSubscriber]; [IsDisposedTest]; [LazyUndeliverable]; [WindowInterrupted]; [SquareSequenceTest]; [MatchIndex]; [SwitchFlatMapTest]; [SwitchIfFewerTest]; [ShareRace]; [ThrottleSampleTest]; [ThrottleSampleTest.ThrottleFirstSampleObserver]; [GroupSumExample]; [RxJavaFuseTest]; [BufferSkipSingleZero]; [DoOnErrorInside]; [LastZipped]; [ObservableFromFuture]; [SequenceEqualsCancelTest]; [DebounceTimeDrop]; [HookThrowing]; [RetryWhenPlain]; [TestLazy]; [ShareRetry]; [InterruptFlow2]; [BehaviorMulticast]; [RetryWhenTimedTest]; [RetryWhenTimedTest.RetryWhenObservable]; [SingleTimeout7514]; [MaxByTest]; [ParallelProducing]; [SingleObserveOnRaceTest]; [TakeUntil]; [RxWeakRef]; [CacheParallel]; [PeriodicSchedule]; [AdaptiveDebounce]; [SingleUsingTest]; [ConcatEagerDebounceTest]; [UnicastSingleTest]; [CombineLatestError]; [FlowableIfNonEmptyComposeTest]; [FlowableIfNonEmptyComposeTest.ComposeIfNotEmptySubscriber]; [FlowableIfNonEmptyComposeTest.TransformSubscription]; [FlowableIfNonEmptyComposeTest.TransformConsumer]; [LatestSuccessTest]; [MaybeConcatTest]; [VehicleToFetch]; [FromIterableFlatMap]; [FromIterableFlatMap.Result]; [TimeoutExample]; [CreateFlatFlat]; [SortZip]; [PublishUndeliverableTest]; [FlatMapFatal]; [DistinctUntilChangedNumericDeltaTest]; [DebounceRailTest]; [PublishFuncExample]; [ListGrouping]; [ListGrouping.Group]; [TestObserverDispose]; [UncaughtCrash]; [ConnectConnect]; [RightThread]; [BufferExactDisposeTest]; [FileReaderTest]; [ZipInfinite]; [GroupByTimeout]; [LineByLine]; [LineByLine.State]; [BehaviorWithLatestTest]; [SampleTest]; [DoOnSubscribe2]; [Covariance]; [ConcatAnomalyTest]; [Loading]; [AndThenTest]; [ItemTestSO]; [ItemTestSO.ItemTest]; [MapThrowsNull]; [ConcatRange]; [DropBlocking]; [FlatMapWithTwoErrors]; [TimeoutCancelv2Test]; [SubjectShareTest]; [SubjectShareTest.Request]; [RxJava2Test]; [GenerateExampleTest]; [ObservableConcatEagerTest]; [RetryWhenDelay]; [SomeClicks]; [ReplayRefCountSubjectTest]; [WithNextSupplierTest]; [Amb2Test]; [MonoPublishTest]; [FromCallableConcatMapTest]; [SomeAsyncApiBridgeTest]; [SomeAsyncApiBridgeTest.AsyncRange]; [RxLosers]; [SwitchMapRace]; [ThrottleLastSO]; [BlockingSubscribeOrdering]; [FlatMapDisposeTest]; [SwitchFallback]; [RetryWhenManyTypeTest]; [BufferUntilChanged]; [BasicSingleCreateTest]; [ReentrantSubject]; [WindowDisposed]; [GroupByFilterTest]; [TakeUntilTest]; [ExceptionAfterDispose]; [GroupByTake5]; [GroupByTaken]; [SingleTimeout7515Rx3]; [TrackedRefcount]; [BehaviorSubjectCombineLatestTest]; [ConcurrentSingleCache]; [ConcurrentSingleCache.Entity]; [IntDeferredReducerCore; DeferredScalarSubscriber; LongDeferredReducerCore]; [FlowVsRS]; [FlowVsRS.FlowPublisher]; [FlowVsRS.RSPublisher]; [InsertHeader]; [WhichThread]; [SingleFlatMapIterableObservable]; [SingleFlatMapIterableObservable.FlatMapIterableObserver]; [TrampolineInfinite]; [ReduceWhile]; [PersonSeq]; [PersonSeq.Person]; [RepeatWhenEmpty]; [FlowableSumIntArray]; [FlowableSumIntArray.SumIntArraySubscriber]; [EIsNotNull]; [FlowableStringInputStream.StringInputStream]; [Counts]; [NoWebMain]; [NoWebMain.LongCouple]; [RxSynchronousProfiler]; [RxSynchronousProfiler.CallStatistics]; [RxSynchronousProfiler.FlowableProfiler]; [RxSynchronousProfiler.ProfilerSubscriber]; [RxSynchronousProfiler.ProfilerConditionalSubscriber]; [RxSynchronousProfiler.SingleProfiler]; [RxSynchronousProfiler.ProfilerSingleObserver]; [OddCall]; [StripedCompositeDisposable; DisposableContainerPerf; DisposableContainerSyncPerf; FixedCompositeDisposable]; [SomeAsyncApiBridge]; [SomeAsyncApiBridge.SomeAsyncApiBridgeSubscription]; [BufferSkipAsync]; [FlowableSignalMapper]; [FlowableSignalMapper.SignalMapperSubscriber]; [GroupByParallel]; [WeakParallelScheduler]; [WeakParallelScheduler.WeakParallelWorker]; [WeakParallelScheduler.WeakTask]; [ShiftByCount]; [SingleFlatMapIterableFlowable]; [SingleFlatMapIterableFlowable.FlatMapIterableObserver]; [Coincidence]; [FluxCharSequence]; [FluxCharSequence.CharSequenceSubscription]; [SubscribeOnFalse]; [RefCountGrace]; [FirstAndSample]; [CacheAndBlock]; [FindGT]; [JavadocScrape]; [TrackSubscriber]; [TrackSubscriber.SignalTracker]; [RxSynchronousCoarseProfiler]; [RxSynchronousCoarseProfiler.FlowableProfiler]; [RxSynchronousCoarseProfiler.ProfilerSubscriber]; [RxSynchronousCoarseProfiler.ProfilerConditionalSubscriber]; [RxSynchronousCoarseProfiler.SingleProfiler]; [RxSynchronousCoarseProfiler.ProfilerSingleObserver]; [MyRxJava2DirWatcher]; [DoOnErrorFusion]; [Transformers]; [Cartesian]; [ResumeFilter]; [PerfConsumer]; [PublishProcessorPerf]; [PerfBoundedSubscriber]. LCC (Lack of Component Cohesion) = 0.98
akarnokd-misc,hu.akarnokd.iterables,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IxNulls]; [SingletonIteratorTest; SingletonIterator; SingletonSet; SingletonSetBugged; SingletonIteratorBugged; LambdaSingletonPerf]. LCC (Lack of Component Cohesion) = 0.29
akarnokd-misc,hu.akarnokd.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestHelper]; [TestHelper.NoOpConsumer]; [TestHelper.FlowableStripBoundary]; [TestHelper.StripBoundarySubscriber]; [TestHelper.ObservableStripBoundary]; [TestHelper.StripBoundaryObserver]; [BallisticResist]; [TestException]. LCC (Lack of Component Cohesion) = 1.0
akarnokd-misc,hu.akarnokd.rxjava,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 93
akarnokd-misc,hu.akarnokd.rxjava,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ZipRandomTest]; [Ternary]; [RetryWhenCompile]; [ZipRxJava]; [ZipRxJava.CartPlanResponse]; [ZipRxJava.CartFeatureResponse]; [ZipRxJava.CartAccessoriesResponse]; [ZipRxJava.Response]; [CompletableConcat1]; [ATest]; [ATest.Gateway]; [ATest.Item]; [AutoRemoveSubscription]; [DoOnSubscribe1]; [SingleUntil]; [ReplayTimeout]; [StackOverflowDepth]; [CompleteDos]; [FromCallCancel]; [AmbTest]; [ProblemTestCase]; [ReduceAnonymous]; [GroupByTest]; [DelayingScheduler]; [DelayingScheduler.NewWorker]; [OutOfOrder3]; [ListFlatMappingTest]; [OutOfOrder]; [PublishSubjectRaceTest]; [RecurseWithDefer]; [OutOfOrder2]; [Replay1RetentionTest]; [FromToSingle]; [ScanReplay]; [ConcatReplayTest]; [OutOfOrder5]; [InteropCheck]; [PublishBufferZip]; [ConcatWithTest2]; [ConcatWithTest]; [GroupConcat]; [GroupConcat.AppInfo]; [SingleUnsubscribe]; [BufferUntil]; [BufferUntil.BufferWhileSubscriber]; [CompletableConcat2]; [ObserveOnTest]; [InferenceSO]; [InterruptFlow]; [FirstAndThrowTest]; [TimeoutCancelTest]; [ConcatWithTest3]; [BufferUntilWithPublish]; [PublishExample]; [OutOfOrder4]; [BufferStartEndTest]; [OnSubscribeSumDouble]; [OnSubscribeSumDouble.SumDoubleSubscriber; ScalarDeferredSubscriber; OnSubscribeSumFloat.SumFloatSubscriber; OnSubscribeSumLong.SumLongSubscriber; OnSubscribeSumInt.SumIntSubscriber; OnSubscribeMinMax.MinMaxSubscriber]; [ShareLatest]; [ThrottleFirstExample]; [EmitterTest]; [SingleAsync]; [OnSubscribeSumLong]; [ActionInBetween]; [DebounceFirst]; [OperatorSum; MathObservable; OperatorMinMax; OnSubscribeMinMax]; [GroupByTest2]; [OnSubscribeSumInt]; [Example]; [MethodDiff]; [EmitterTestv2]; [TransactionSubjectPlaypen]; [TransactionSubjectPlaypen.ExceptionType]; [TransactionSubjectPlaypen.TestTransactionObserver]; [TransactionSubjectPlaypen.TestTransaction]; [SubscriberReuse]; [ConditionalCompactedStream]; [ConditionalCompactedStream.ConditionalCompactor]; [ConditionalCompactedStream.ConditionalCompactorSubscriber]; [TrackSubscriber1]; [TrackSubscriber1.SignalTracker]; [CompletableFlatMapSingleToCompletable]; [CompletableFlatMapSingleToCompletable.SourceSubscriber]; [Merge4691]; [OnSubscribeSumFloat]. LCC (Lack of Component Cohesion) = 0.91
akarnokd-misc,hu.akarnokd.queue,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
akarnokd-misc,hu.akarnokd.queue,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MpmcPollTest]; [MpscLinkedArrayQueueTest; MpscLinkedArrayQueue]; [SpscLongArrayQueueTest; SpscLongArrayQueue]; [SpscIntLinkedArrayQueueTest; SpscIntLinkedArrayQueue]; [SpscIntArrayQueueTest; SpscIntArrayQueue; SpscIntArrayQueueXPerf; SpscIntArrayQueuePerf; SpscIntArrayQueueAtomic]; [SpscLongLinkedArrayQueueTest; SpscLongLinkedArrayQueue]; [MpscLinkedArrayQueueV2Test]; [MpscLinkedArrayQueue.ARA]; [IntQueue]; [SpscStealableArrayQeque]; [ArrayQueue]; [Cold; Cold.Pad1]; [Cold.Tail]; [Cold.Pad2]; [Cold.Head]; [Cold.Pad3]; [Cold.MpscLinkedArrayQueueV3]; [Cold.Node]; [ColdV2; ColdV2.Pad1V2]; [ColdV2.HeadV2]; [ColdV2.Pad3V2]; [ColdV2.MpscLinkedArrayQueueV2]; [ColdV2.NodeV2]; [IQueue]; [SpSrcQueue]; [SpSrcQueue.ARA]; [SpscLongLinkedArrayQueue.ALA]; [SpscIntLinkedArrayQueue.NextNode]; [ExamplePerf]. LCC (Lack of Component Cohesion) = 0.74
