Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
akarnokd-misc,hu.akarnokd.rxjava3,RangeDelayedRange,0,0,2,1,8,2,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/RangeDelayedRange.java,8
akarnokd-misc,hu.akarnokd.rxjava3,SomeGroupBy1,0,0,2,1,22,2,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/SomeGroupBy1.java,10
akarnokd-misc,hu.akarnokd.rxjava3,ZipWithOne,0,0,1,1,7,1,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/ZipWithOne.java,9
akarnokd-misc,hu.akarnokd.rxjava3,SingleMaybeMock,5,0,1,1,50,1,0,0,0.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/SingleMaybeMock.java,9
akarnokd-misc,hu.akarnokd.rxjava3,SingleMaybeMock.Handler,2,0,0,0,7,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/SingleMaybeMock.java,18
akarnokd-misc,hu.akarnokd.rxjava3,SingleMaybeMock.MockValueService,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/SingleMaybeMock.java,32
akarnokd-misc,hu.akarnokd.rxjava3,SingleMaybeMock.MockRepositoryService,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/SingleMaybeMock.java,38
akarnokd-misc,hu.akarnokd.rxjava3,SingleMaybeMock.Result,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/SingleMaybeMock.java,44
akarnokd-misc,hu.akarnokd.rxjava3,SingleMaybeMock.Request,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/SingleMaybeMock.java,56
akarnokd-misc,hu.akarnokd.rxjava3,SingleMaybeMock.Value,1,0,0,0,9,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/SingleMaybeMock.java,68
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop,8,0,1,1,85,1,0,0,0.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/BufferStartStop.java,14
akarnokd-misc,hu.akarnokd.rxjava3,BufferStartStop.BufferWithTimeout,8,0,0,0,80,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/BufferStartStop.java,26
akarnokd-misc,hu.akarnokd.rxjava3,SomeBlocking,0,0,1,1,11,2,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/SomeBlocking.java,8
akarnokd-misc,hu.akarnokd.rxjava3,ZipPattern,0,0,1,1,16,1,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/ZipPattern.java,10
akarnokd-misc,hu.akarnokd.rxjava3,NestedUsing,0,0,1,1,13,3,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/NestedUsing.java,7
akarnokd-misc,hu.akarnokd.rxjava3,CompletableAndThenNoError,0,0,1,1,5,1,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/CompletableAndThenNoError.java,6
akarnokd-misc,hu.akarnokd.rxjava3,RepeatWhenSO,0,0,1,1,16,2,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/RepeatWhenSO.java,12
akarnokd-misc,hu.akarnokd.rxjava3,FlatMapLatest,0,0,1,1,28,2,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/FlatMapLatest.java,11
akarnokd-misc,hu.akarnokd.rxjava3,UndeliverableTest,0,0,1,1,12,1,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/UndeliverableTest.java,11
akarnokd-misc,hu.akarnokd.rxjava3,SchedulerPrint,0,0,1,1,20,1,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/test/java/hu/akarnokd/rxjava3/SchedulerPrint.java,12
akarnokd-misc,hu.akarnokd.rxjava3,MarblesAddBackground,0,0,1,1,39,7,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/MarblesAddBackground.java,9
akarnokd-misc,hu.akarnokd.rxjava3,SomeCombine,0,0,1,1,11,1,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/SomeCombine.java,7
akarnokd-misc,hu.akarnokd.rxjava3,OnErrorResumeNextInSequence,0,0,1,1,29,4,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/OnErrorResumeNextInSequence.java,10
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromPublisher,21,0,3,3,301,4,0,0,0.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ParallelFromPublisher.java,15
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromPublisher.ParallelDispatcher,18,0,0,0,282,0,0,0,-1.0,0,0,/Users/krish/git/csci3130/assn3/akarnokd-misc/src/main/java/hu/akarnokd/rxjava3/ParallelFromPublisher.java,43
